,host_id,host_name,private_rooms
815,229626990,Weldon,2
817,230058035,Lisa,2
435,55366398,Linda,2
427,54341693,Kyun,2
821,233419836,Lupe And Christian,2
943,363060975,Fidelia,2
439,56091787,Plantation Hale,2
546,91584487,Keokiana,2
696,159397426,Leilani,2
511,77606360,Christine,2
436,55713380,Ray,2
827,235271471,Marion,2
927,337008063,Ryan,2
997,408804850,Rosanna,2
420,52600820,Jason,2
769,198653429,Home Sweet,2
766,194844068,Kenneth,2
765,194671013,Gregory,2
397,47747430,Ivan,2
399,49181175,Jon,2
404,49622746,Russ,2
406,49708957,Karen,2
1005,410740970,Laurie,2
524,82899824,Michael,2
937,347655907,Cheryl,2
788,214639364,Farsheed,2
410,50749609,Diana,2
936,346782556,Cody,2
935,345199340,Linda,2
793,218991228,Bart,2
743,176410187,Jeannine,2
734,173763188,Jonathan,2
939,352781868,Jessica,2
529,84780274,Danika,2
1001,409342965,Sherlane,2
730,172938379,Dena,2
941,356759342,Marceli,2
727,171311534,Pamela Leland,2
985,398169087,May,2
807,226096204,Andy,2
986,398336808,Christina,2
596,110214240,Karen,2
447,58393453,Robert And Karen,2
839,244987685,Sean & Taryn,2
869,263508276,Chad,2
498,73229390,Victoria,2
631,126372672,Celeste,2
875,269059707,Kimi,2
966,385620285,Mina,2
623,123073798,Joseph,2
617,120271090,Kimberly,2
881,276872025,James,2
614,119070668,Venture,2
482,67655814,Gregory,2
612,118616551,Mark,2
963,382972168,Shellie,2
962,382736246,Erich And Suzy,2
886,283078718,Kevin,2
606,116219427,Madison,2
959,379603176,Shay,2
888,285170902,Emelly And Todd,2
488,68957698,Tiare,2
960,379888620,Kana,2
602,112460253,Charlotte,2
490,70202710,David,2
493,71153678,Kirsten,2
599,111977764,Rick And Hollie,2
868,263345634,Fanny,2
969,386372210,Carl And Elma,2
473,66096758,Harrison,2
457,62167211,Antonette,2
950,368354573,Dan,2
491,70248085,Susan,2
671,145870475,Alei,2
846,251441633,The Future Bright,2
668,143590407,Brittany,2
981,396648430,Kim,2
847,251605183,Kathleen,2
665,140802212,Tina,2
455,61023970,Ifiya,2
555,94682212,Rev. Les,2
458,62706012,Matias,2
899,300588222,White Sands,2
978,394350455,Jason,2
460,63150341,Chandler M,2
462,64552675,Weng & John,2
976,393323917,Jenny,2
660,139710847,Steve & Su,2
465,65113174,Michael,2
918,325714245,Lori,2
973,389033505,Yuy,2
583,102680337,Yash,2
584,103068619,Thuy,2
522,82831983,Yang,2
387,45628851,Cc,2
49,1777265,Zachary,2
1069,454174432,Ilnam,2
1064,452316989,Ting W,2
62,2401853,Rachel,2
314,31239652,Pua,2
253,22248856,Toby,2
113,5884464,Coral,2
250,21284028,Archie,2
317,31777145,Jasmine,2
249,20906962,William,2
1182,506017401,Niegel,2
321,32626187,Joy Ohana,2
1220,537637832,Jordan,2
39,1429028,Angela,2
246,20785889,Dean,2
1055,446583322,Kelly,2
33,1239659,Cris,2
31,1187199,Cab,2
1049,442265465,Valerie,2
85,3640477,Tom & Denise,2
29,1025317,Dani,2
1190,510886468,Matthew,2
339,35873058,Gordon,2
257,23420202,Mathilde,2
101,4583552,Thomas,2
340,35916778,Claudia,2
304,30376904,Steve & Diane,2
1091,469691107,Jun,2
189,12422528,Paul,2
271,24799207,Lena,2
274,25114810,Amanda,2
276,25224557,Kai,2
185,12042216,Yumi & Gen,2
95,4204191,Dale,2
57,2088791,Marianne,2
181,11638751,Kaimana,2
264,24054268,Garrett,2
262,23906942,Monica,2
286,26441049,Nicholas,2
261,23791758,Kelly,2
1078,459826312,Charles,2
1077,459222047,Bin,2
174,11206419,Noni,2
54,1995357,Dean,2
299,28762596,Eric,2
99,4307870,David Lee,2
260,23683193,Louis,2
1070,454952286,Brent,2
117,6056846,Ashley,2
243,20492939,Robert,2
84,3625518,Lesleh,2
1171,501905278,Daniel,2
203,14099565,Scott,2
166,10001899,Cece,2
367,41094402,Jacob,2
123,6388933,Hawaiian Hospitality,2
370,41475506,Rebecca,2
155,8753372,Janice,2
17,492687,Tony,2
378,43626784,Johanna,2
1195,512874821,Marco,2
16,484982,Jing,2
152,8394235,Kimiko,2
1031,430316056,Aleksander,2
149,8262226,Linda,2
208,14811481,Joanna,2
381,44296860,Kale,2
382,44885532,Howard,2
133,7226369,Iris & Zach,2
1124,479920108,Arabella,2
384,45253471,Shelly,2
2,8740,Lana,2
74,2956596,Patricia,2
141,7553028,Angel,2
1029,429474002,Jessie,2
268,24716229,Dan & Mieko,2
202,13880880,Chandy,2
348,37233924,Nima,2
347,36984221,Ariunaa,2
237,19939988,Ranae,2
164,9726422,Andolie,2
156,9045854,Mauricio,2
201,13428870,Timothy,2
25,932040,Gary And Patty,2
1105,475669538,Rebecca,2
68,2655267,Suzen,2
160,9392285,Kristen,2
22,743900,Mangolani Inn,2
1037,436092684,Mackenzie,2
1035,435800890,Katelyn,2
1034,434431029,Tsing,2
1153,492093803,Joyce,2
223,17703208,Raymond Or Lois,2
157,9074452,Aeby,2
1177,504233196,Kehaulani,2
843,249290600,Dusan,1
848,253099416,Megan,1
845,251430525,Frank,1
1197,513252528,Susan,1
1191,511465324,浩一,1
844,250861823,Steven,1
1194,512510858,Marianne,1
1193,511649678,野田,1
1196,512973808,Debra,1
849,253537462,Coconut Waikiki,1
1192,511484845,Kristen,1
1017,419190825,Sunny,1
851,255324981,Ruebon,1
1180,505735108,Cam,1
1178,505239736,Steven,1
870,263554264,Jieru,1
871,264780811,Jiajia,1
1176,502335155,Vance,1
872,265962614,Jesse,1
1175,502311350,April,1
874,266513930,Giovanni,1
1174,502054341,Ensuite,1
877,271613478,Tara,1
1170,500971384,Virginia,1
878,273597657,Lily,1
1168,499260601,Your Sweet Dream Vacation,1
879,273647859,Razza,1
1167,498095931,Cynthia,1
1166,497654167,Scp,1
1179,505446767,Jade,1
1181,505896114,Elaine,1
1189,510365906,Sarker,1
865,261698386,Julian,1
853,256774718,Lisa,1
854,256919145,Sean,1
855,257467882,The Homestead,1
1188,509432402,Keith,1
1187,508560840,Shawna,1
859,259248059,Shirley,1
1186,508127355,Alex,1
1184,507062548,Jennifer,1
1183,506164065,Monya,1
841,246710530,Christopher,1
860,259640808,Ciera,1
861,260288959,Ernesto,1
862,261269767,Steve,1
863,261478958,Marina,1
864,261605468,Dee,1
1199,514631501,Walter,1
1208,528357427,Reef,1
840,246268335,James,1
1200,516340107,Jennifer,1
791,217362122,Cindy,1
1227,547030045,Roberta,1
1226,544346313,実 Minoru,1
794,220332319,Anup,1
795,220462846,Tak/Justin,1
1225,542150839,Cathy,1
796,221470895,Peyman,1
797,221924007,Hoaloha,1
798,222114973,Cathleen,1
799,222890741,Jennifer,1
1224,539265660,Elizabeth,1
800,223013808,Hua,1
801,224729907,Naoko,1
1223,538681785,Sun,1
802,224836468,Vivian,1
803,224876938,Kristen,1
1222,538467577,Lolita,1
790,216138415,Charlie,1
1228,549149621,Alex,1
1229,549528924,Rose,1
1235,554942973,Koffi,1
777,204249669,Steven,1
778,204704622,Momoyo,1
779,204724114,Sean,1
1238,559323150,Reba,1
780,205422655,Kona Kaiopua,1
1237,556349592,Keisuke,1
1236,556175458,Derek,1
781,205748126,Shannon,1
1230,549970997,Irina,1
782,208903398,Nadia,1
1234,553354092,Vie Amor,1
1233,553239560,William,1
784,210552519,Rex,1
1231,551860738,Naomi,1
786,213731696,Michael,1
787,214201119,Autumn & Todd,1
1218,536855541,James,1
1217,536663327,Joyce,1
1216,534259134,Christopher,1
831,238849136,Marija,1
882,279790868,Wilfred,1
1207,526830139,Kevin,1
1206,526443984,由紀夫,1
1205,526218070,Noriko,1
829,236664052,Chimera,1
830,238378250,Yuxiang,1
1204,523962417,Rachel,1
1203,523504805,Let'S Go Vacation,1
825,234909211,Abby,1
832,239037975,Camille,1
833,239303855,Peter,1
834,239974013,Shaer,1
1202,522629658,Terri,1
1201,520963723,Airë,1
837,244576237,Matthew,1
838,244601733,Matthew,1
826,235237766,Lori,1
824,234545340,Duane,1
808,226893142,Manager,1
816,229734670,Tiffany,1
810,227337591,Mahsan,1
811,227424900,Mary,1
1215,532469482,Doug,1
812,227700627,Robert,1
1214,532276063,Andrew,1
814,228903178,Wanda,1
1213,532225844,Deena,1
1212,532156268,重隆,1
823,234194182,Chris,1
818,230245374,Rhonda,1
819,232275915,Todd,1
820,232617370,Shuqin,1
1211,530361674,Kristina,1
1210,529491691,Jana,1
1209,528453534,Kenneth,1
822,233720096,Victoria,1
1165,497637629,David,1
901,302745268,Samantha,1
1164,497027693,Yoichi,1
883,280739196,Paola,1
972,388886804,Kevin,1
1068,454005656,Jewel,1
1066,452466040,Andrea,1
975,392522522,Barrett,1
1063,452022687,Regina,1
977,394152578,Jamie,1
1062,451558337,Patti,1
1061,451016474,Stephanie,1
1060,451014732,Michael,1
1059,450561063,James And Jenn,1
1058,448788972,David,1
980,395246055,Lori,1
1057,447775863,David,1
1053,444380735,Bing,1
1052,444370428,Yue,1
983,397698607,Cathe,1
984,398084087,Gerald,1
970,386624753,David,1
1072,455672942,Athena,1
1074,456807020,Denelyn,1
1088,466628211,Marilyn,1
952,372431922,Ina,1
1095,472454237,Kana,1
956,374717032,Emily,1
1094,471896123,Juyoung,1
1093,470658051,Garnett,1
958,378530762,Alex,1
1090,469677595,Tamara,1
1087,466278218,Rick,1
967,385696555,Jackie,1
1085,464337674,Joy And Charles,1
1084,463779368,Camille,1
1083,462628681,Denis,1
964,384021734,Andrea,1
1082,462468097,Shariq,1
965,384189413,Winnie,1
1075,458863326,Markus,1
1048,442005559,Jennifer,1
1047,441111483,Martin,1
987,400385261,Sally,1
1010,414055554,Nikolas,1
1025,426678794,Wayne Properties,1
1006,411483419,Austin,1
1007,411711341,Debra,1
1022,422601174,Eric,1
1008,412830383,Kaetlyn,1
1021,422192071,Joshua,1
1009,413515373,Amy,1
1011,415118353,Erik,1
1028,428558902,Gregory And Elizabeth,1
1012,415561436,David,1
1020,420976380,Rachel,1
1013,416206208,Summer,1
1019,420333504,Loreen,1
775,202569287,Sylvia,1
1014,416655102,NW Premier Homes And Land,1
1015,417857300,David,1
1027,427331871,Parker,1
1002,409397101,Keith,1
1046,440246129,John,1
1040,437090079,Valerie,1
988,401887975,Tracy,1
1044,439433724,Jason,1
989,402641559,Leonidas,1
1042,438647168,Kamalani,1
1041,437769190,Lonna,1
990,402968576,Alyson,1
991,403480517,Corrina,1
992,404502006,Park Royal The Cliffs,1
999,409032034,Jang Hun,1
993,405407556,Bodacious,1
1038,436292933,Natalia,1
994,406662784,Brent,1
995,406770163,David,1
998,408995110,Tulpe,1
1033,433514568,Niegel,1
1032,430970487,Peggy,1
1097,474616797,My,1
1104,475668203,Lucille,1
947,366264517,Maile,1
1148,490486936,Carol,1
1016,418506831,Deborah,1
902,304188848,Allan,1
903,305504548,Kobayashi,1
904,305635192,Kimmie,1
905,305956761,Dnc,1
906,306025378,Anna,1
1149,490502170,Matt,1
1147,490406871,Jay,1
900,302699511,Yi-Ying,1
1146,489795763,Christelle,1
908,307848164,Shasha,1
909,308526507,Daishanique,1
910,309324588,Naoko,1
911,310865202,Patrick,1
912,312267915,Kae,1
1145,489670629,エスアイシー,1
1150,490595892,Philip,1
1151,491173667,Jenn,1
914,318635403,Sandra,1
1155,493995036,LuxaryProperties,1
1162,496656935,Richard,1
1161,496620310,Holly,1
884,282472887,Lou And Kami,1
885,282768834,Ernie,1
1160,495940360,Yiyuan,1
1157,494899762,Jordan,1
1156,494424237,敬三,1
889,288245601,Bryan,1
898,299657655,Chelsea,1
890,288543886,Mitchell,1
891,289163634,Richard,1
892,291536188,Kelli,1
893,293234241,Jenny,1
895,298635082,Fabiola,1
896,299293265,Casey,1
897,299583036,Eriko,1
913,316130973,Chuck,1
1144,489635621,Savvy,1
946,365874548,Rachelle,1
1122,479232704,Ron,1
1128,482941601,玲奈,1
1127,482692526,Matthew,1
1126,482540131,Michael,1
1125,481814421,Richard,1
933,342851059,Sophia,1
934,345154540,Lisa,1
1123,479309663,Sidney,1
1121,479075292,Therese,1
929,337941870,Raul,1
1120,479051103,真理子,1
1118,477464208,Find Dream Rentals,1
1109,475676693,Erick,1
940,353332567,Henele,1
942,361874745,Aniko,1
944,363697054,Kyle,1
945,365492049,Tiare,1
930,338176567,Michael,1
1129,483113222,Scott,1
1142,487722180,Amras,1
921,326614710,Adam,1
1141,487556617,Kimberlee,1
1140,486415127,Kathy,1
917,325313635,Kelsey,1
1139,486373347,Travis And Emi,1
1138,484692621,Michele,1
920,326340299,Gloria,1
1136,484536872,Natalie,1
1135,484063917,Aiwu,1
1130,483122277,Tricia,1
1134,484013534,James,1
922,329824567,Vicky,1
923,331398088,Dustin,1
1133,483881170,Glenn,1
924,331548214,Johnny,1
925,334127487,Melanie,1
1132,483747036,Jason And Michele,1
0,908,Sherry,1
620,122551806,Anirban,1
774,201809241,David,1
285,25869705,Isabel,1
265,24079795,Deborah,1
266,24131057,Anna,1
267,24157156,David,1
269,24776034,Andre,1
270,24797972,Murat,1
273,25114604,Marge,1
277,25240699,Maria,1
279,25369524,Angela,1
280,25473670,Laura,1
281,25477975,Lissette,1
282,25524319,Lisseth,1
283,25557853,H. Michael,1
288,26650418,Active Traveler Deals,1
403,49521255,Donald,1
289,26764902,Roby,1
291,27381003,Priscilla,1
293,27558168,Samuel,1
294,27646608,Avi,1
296,28279508,Krista,1
297,28358059,Kim,1
298,28457251,Jon,1
300,29477749,Deborah,1
301,29815589,Joshua,1
302,30118476,Jenna,1
303,30206540,Maximillian,1
305,30566158,Mark,1
259,23540981,Ginger,1
256,23147218,Patti,1
255,22989179,Yamamoto,1
254,22313818,Paul,1
214,16019536,Amanda,1
216,16628959,Cindy,1
217,17034901,Jazzmin,1
218,17126117,Maylene,1
219,17370124,Ikuko,1
221,17382422,Margit,1
222,17587761,Brandon,1
226,18200917,Travis,1
227,18225442,Jed & Sheila,1
228,18235906,Mani,1
230,18385877,Amanda,1
231,18920563,Robin,1
232,18926743,Chris,1
233,19470558,Michele,1
234,19538238,Lin,1
235,19646034,Amie,1
236,19785763,Nhut,1
240,20133947,Christy,1
242,20380976,Sophie,1
244,20574248,J Maire,1
245,20740920,Chao,1
247,20787711,Barbara,1
248,20868117,Corinna,1
251,21818772,Lisa,1
252,22059677,Debra,1
306,30787515,Brooke,1
307,30798958,Joshua,1
308,30854956,Onye,1
353,38287799,Sanyu,1
355,38304048,Matty,1
357,38506525,Prakash,1
358,38722727,Julia,1
360,39155904,Bryce,1
363,40211934,P J,1
364,40659259,Carole,1
366,40906769,Maria Fernanda,1
368,41193855,Nick And DeAnna,1
371,41954133,Josenia,1
373,42151200,Gigi,1
374,42331562,Jeff,1
375,43296752,Marc,1
377,43466344,Beth,1
379,43793840,Mark,1
380,43802128,Deborah,1
383,45032177,Mike,1
385,45469281,Hiroko,1
386,45555777,CC Joy,1
388,45700313,Nalani,1
390,46118620,Fiona,1
391,46177748,Jennifer,1
392,46250632,Maxi,1
396,47475013,Hamilton,1
398,48109530,Rj,1
401,49371063,Anna,1
354,38300230,Donna,1
351,37285806,Nathaniel,1
310,30972206,Robert,1
350,37273608,Yuen,1
311,31171211,Jaya,1
313,31224026,Rae,1
315,31371029,Kimberly,1
316,31690403,Susan,1
318,31944188,Peter,1
320,32151390,Timothy,1
322,32697764,Poppy,1
323,32913206,Kate,1
324,33251874,Edna,1
325,33297225,Meg,1
326,33393432,Bade,1
329,33788423,Matt,1
330,33951864,Angelique,1
332,34475293,Theresa,1
333,34680913,Carl&Marilyn,1
334,34793810,Miranda,1
335,35160782,Makana,1
336,35237703,Anna,1
337,35331227,Paula,1
338,35723730,Taryn,1
341,35984620,Hannah,1
342,36178292,Steven,1
344,36701219,Angela,1
346,36830752,Anne Marie,1
349,37259762,Raymond,1
213,15842584,Kerranna,1
212,15654757,Nicole,1
211,15533236,Joe,1
55,2044335,Bonniestar,1
58,2177988,Libby,1
59,2180671,Hope,1
60,2180698,Mary A.,1
61,2349948,Hawaii Dream Realty TEAM,1
64,2450389,Leonard,1
65,2586307,Karen,1
66,2602554,Bernadette,1
67,2612922,Tom,1
69,2657251,Darcy,1
70,2665710,Carlos,1
72,2682061,Jose,1
76,3078720,Precious,1
77,3079004,Jacob,1
78,3299481,Roth,1
81,3444026,Wendy,1
82,3452288,Kalama,1
87,3869726,Jeanne,1
88,3975009,Elisabet,1
90,4051260,Lisa,1
92,4071088,David,1
93,4150084,Rudy,1
94,4177888,Mariana,1
98,4266928,Sylvia,1
100,4567468,Dorothy,1
102,4623954,Janice,1
56,2078447,Cheryl,1
53,1928202,Meera,1
106,5213108,Lynn,1
51,1848089,Sandra,1
3,22355,Selena,1
4,52969,Lisa,1
5,53489,Maui Garden Oasis,1
6,54814,Greg,1
8,94828,Liz,1
10,165595,Yarden,1
11,190063,Roxy,1
12,200945,Neva,1
18,527130,Middle Way Farm,1
19,634010,Melinda,1
20,639198,Kai,1
21,741507,Catherine,1
23,791732,Ken,1
24,831472,Ye,1
27,986459,T Bradley,1
28,1006720,Rachel,1
30,1113923,Anna,1
37,1411093,Rae,1
40,1452413,Stefano,1
41,1486449,Mary,1
44,1615797,Noah,1
45,1619202,Kris,1
47,1661953,Shannon,1
48,1699469,Sylvia,1
50,1846405,Rachelle,1
103,4624470,Sri,1
111,5815616,Lulie,1
210,15240910,Taylor,1
158,9081483,Hannah,1
162,9668127,Joel,1
165,9812005,Thuy,1
168,10490368,Tanesha,1
169,10538825,Jeff & Pam,1
170,10659328,Angel,1
171,10738545,Pete,1
172,10870351,Charles,1
173,11073568,John,1
176,11448427,Daniel,1
177,11481260,Hazel,1
178,11497011,Bruce,1
179,11532572,Claire,1
180,11626067,John,1
183,11965092,James,1
190,12568111,AMS Dynamic Realty,1
192,12620669,MIKE And GARY,1
196,12967425,Eddie,1
197,12970104,Timothy,1
198,12993554,Marcio,1
199,13031980,Arvis,1
204,14369208,Carlos,1
205,14550934,Kayla,1
206,14808391,Lori & Bill,1
207,14810028,Tanaz,1
209,14813508,Nancy,1
159,9293774,Michele,1
151,8374973,Anne,1
114,6017048,Cheryl,1
150,8354387,Megan,1
115,6025119,Olivia,1
116,6034640,Martine,1
118,6132660,Carol,1
119,6146432,Matthew,1
120,6172693,Ch,1
121,6226197,Paul,1
122,6379664,Steve,1
124,6524762,Armstrong,1
125,6599926,Steve,1
126,6687171,Korryn,1
127,6726453,Carmelita,1
128,6780420,Joy,1
130,6867554,Georgia,1
135,7312534,C & C,1
136,7364591,Galen,1
137,7366278,Allen,1
138,7433098,Aljosha,1
139,7434950,Kathy,1
140,7536867,Phuong,1
142,7553291,Alvin,1
143,7615851,Julia,1
144,7636516,Daisy,1
145,7658012,Hale Kukui,1
146,7745486,Dee,1
148,7942299,Cynthia,1
402,49493441,Amélie-Phaine,1
405,49677169,Xian,1
773,201453817,Hilary,1
664,140643963,Kris,1
645,130629840,Jason,1
646,130665290,Emily,1
651,134111430,Nandi,1
652,134603523,Diane,1
653,135095971,Valery,1
655,135165239,Sally,1
656,135762516,Dee Dee,1
657,138210571,Richard,1
658,138992360,Summer,1
659,139545519,Lindsey,1
661,140240112,Nicole,1
662,140296367,Lisa,1
666,141315542,Diane,1
407,49908695,Aaron,1
667,142522244,Kualoa,1
669,143844294,Joel,1
670,144696123,Anita,1
675,147124896,Royden,1
676,147325940,Emily,1
677,147543463,Lauren,1
678,147683111,Penny,1
679,150825338,Rene,1
681,151425448,Leonard,1
682,151769902,K.T.,1
683,152281181,Stephen & Edna,1
684,152594470,Noel,1
643,129645766,Sue,1
642,129062307,Laurie,1
641,128956719,Eleanor,1
640,128907770,Karina,1
600,112010166,Jeremy,1
