,host_id,host_name,host_about,num_host_listings
1380,15820446,Maui Paradise Properties,"Vacation Rental Management, Property Management, Asset Management, Real Estate Sales and Financial Analysis on  real estate.

We give our pledge to you to make your vacation on Maui as easy and pleasurable as possible. We understand that vacationing with your family and friends is a time for memories, rest, and vital rejuvenation.

We provide the support and peace of mind for your ultimate vacationing experience on Maui.
Link to all our listings:  https://airbnb.com/users/15820446/listings 

We are especially empathetic for our Vacationers.  We are not perfect but we do try hard.  We are all local to Maui and try to represent the Aloha Spirit.

We have discovered for ourselves the pleasure of vacationing in this paradise called: Maui.  All of us came here many years ago, drawn to the mystique and spectacular beauty of the Island. Our satisfaction grows each time we are able to provide that special place our vacationers have worked for and dreamed of for so long. This is truly a marvelous business, and we give thanks each day for this wonderful opportunity.",243
741,5615582,RoomPicks,"Our selected accommodations combine the best features of a hotel and vacation rental home to ensure a wonderful and effortless stay! We take the guesswork out of where you are staying so you can concentrate on what you want to be doing.

We handpick the accommodations in the best properties all over the US offering great vacation rental experience and impeccable service: serviced apartments, oversized suites and accommodations in resorts with outstanding amenities and much more! We do this by testing them ourselves before the hit the list, so we know what to expect before you make the reservation. 

We are available 24/7 to make sure all your special requests are taken care of and to assist with any questions or issues you might have throughout your stay!",234
3613,151398424,Evolve,"Hi! We’re Evolve, the hospitality team that helps you rest easy when you rent a private, professionally cleaned home from us.

We promise your rental will be clean, safe, and true to what you saw on Airbnb or we'll make it right. Check-ins are always smooth, and we're here 24/7 to answer any questions or help you find the perfect property.",232
1480,18476866,Kona Coast,"Kona Coast Vacations hosts over 5,400 reservations a year with the help of knowledgeable management, proficient team members and trusted home owners. Open 7 days a week, we strive to help with each visitors’ every need. Sharing Aloha from the first contact whether it is phone or email, we are here to assist by making the booking process as seamless as can be. We pride ourselves on providing hands on assistance whenever it is needed, whether it is reservation details, maintenance issues, or even booking activities! 

Kona Coast Vacations is fortunate to team up with great property owners which is instrumental in providing exceptional homes for our new and returning guests. With over 240 vacation rentals from oceanfront homes, ocean view condos and private estates, we are here for your every need, open seven days a week to take care of our guests and owners. With two locations in Kailua Kona and Mauna Lani we have dedicated specialists in guest services managing reservations, maintenance, and property checks alongside our accounting, support and marketing specialists. We are proud to be Airbnb members since 2001 and now are Superhosts with over 1070 reviews.
We hope to host you Hawaii and help create a memory to last you a lifetime. We are your “’Ohana” (family) on the Big Island of Hawaii, please do not hesitate to utilize our listed resources and book activities thru Kona Concierge.  
",232
2410,51017586,Rentals Maui,"Rentals Maui Inc. is a locally owned & managed Vacation Rental management company located in Kihei, Maui. We've been doing business on Maui for the past 20 years and we are fully licensed by the State of Hawaii, insured, and bonded.

We currently manage over 300 properties in South Maui, which is also where our office is located, making it convenient should guests need assistance day or night.",223
2232,43793840,Mark,Real Estate Broker,207
159,680107,Hawaii Life,"Hawaii Life Vacations is  a local real estate company offering vacation and long term rentals on all Hawaiian Islands.  We offer island hosts, property managers and offices statewide. Our rentals are professionally managed and each home comes with complimentary concierge services. We look forward to hosting you.",195
2611,61304968,Alii Resorts,"Ali'i is Hawaiian for ""royalty,"" and we strive to live up to our name by giving each of our guests the royal treatment. Amenities include:

Pre-check in condo inspection by our attentive staff
Personal ""Aloha"" upon your arrival
Full concierge and activity service
Gift pack of elite bath amenities
Luxury bed linens and towels

Why Us
With over 25 years of combined experience managing South Maui vacation condos in the Kihei, Wailea and Makena areas, we have earned our reputation as experts in Hawaii vacations. No one knows Maui like we do. It's the rare combination of quality and service that sets Ali'i Resorts apart. We work hard to elevate our brand to be the top vacation rental company on Maui. We maintain our 5 star Trip Advisor rating by keeping a full staff who strives to exceed your expectations for escape, and deliver your vacation accommodations with ease and satisfaction. We are your personal concierge and will work with you prior to your arrival to plan a range of services, activities, experiences, and excursions - be it a week of action and adventure or a complete relaxation. Come see us soon and let our ohana create a vacation of dreams for you and your family.

",192
4667,429407284,K B M Resort Rentals,"KBM Resorts caters to those who appreciate the size and comfort of a fully equipped property but don't want to sacrifice the convenience and amenities of a 5 star hotel. KBM Resorts blends these two worlds together by providing beautiful, full-size residences with hotel-style features and amenities you have come to expect from the finest hotel resorts. Each KBM Resort property features Fully-equipped kitchens, complimentary L'Occitane bath and body lotions, housekeeping and concierge teams, personal grocery delivery, personal greeters and more.

Each KBM Resorts location is fully-staffed with local Guest Ambassadors, Concierge Agents, Activities Desk, Maintenance and Housekeeping teams, Quality Control Inspectors, Laundry facilities and more. If your family ever needs assistance or service our staff is just steps away and ready to help. We employ only dedicated local professionals who believe in our community, deeply care for our Homeowners and Guests, and are genuinely excited to share local expertise to deliver your family a dream vacation.

All KBM Resort locations feature beautiful distinctive residences, professional cleaning and sanitization, fully-equipped kitchens, 24/7 Guest Support teams, complimentary high-speed WiFi, and a seamless checkin process. You and your family are always a call, click, or text away from our local Guest Ambassadors whose sole mission is to deliver your dream vacation.",186
2749,69552498,Captain Cook Resorts,"ALOHA! E komo mai and mahalo for choosing to stay with Captain Cook Resorts!

Captain Cook Resorts proudly manages over 170 privately-owned vacation rentals in Waikiki (a district of Honolulu on the island of Oahu). Everyone on the fun and energetic CCR team works hard to offer great accommodations, great service, and has a passion for sharing all that Oahu has to offer our guests!

We appreciate that you're on vacation, and we ask that you let us know if there's anything we can do to make this visit stand out as one of your best!

ALL CAPTAIN COOK RESORTS RENTALS INCLUDE:
– Bath towels, Beach towels, Bed linens
– Dishes, Silverware, Cookware (including tea kettle & rice cooker)
– Beach chairs, Hair dryer, Iron/Ironing board
– Start-Up Supplies: coffee filters, laundry detergent, dish soap, dishwasher soap, bar soap, paper towels, toilet paper, tissue, basic cleaning supplies, and travel size (2 oz.) shampoo, conditioner, body wash, body lotion
– NOT PROVIDED: beach umbrellas, beach toys, aluminum foil, Ziploc bags, coffee, condiments/seasonings, cooking oil, fabric softener, or bleach. This private vacation rental does NOT include resort services such as daily housekeeping, replenishment of towels or toiletry supplies, or hotel front desk services.

Please let us know if you have any questions!

Mahalo!",186
4604,411546857,Anna,"Hey y’all, Anna here. Mother of 2 rambunctious boys and a husband who embraces my adventurous traveling spirit. We have lived from coast to coast and venture in between. Let me help you find the perfect destination to create everlasting memories. ",183
1301,14143158,Bethany,"Superhost: Aloha! I love to help families and friends travel-to the Hawaiian Islands, California, Utah, Florida and more. You will enjoy beautiful resorts, access to all resort amenities & staff are at your service during your stay. I will also be available before and during your trip to help you make it the best experience possible. ***I can look up dates/locations/prices for you. Just ask! Always happy to help! Bethany 
Hawaiidiscounts808@gmale",179
2153,40240788,Vacasa Hawaii,"Vacasa unlocks the possibilities of how we enjoy vacation homes. We take care of managing our homeowners’ vacation houses so they can have peace of mind (and their home when they want to). And our guests book vacations confidently knowing they’re going to find exactly what they’re looking for without any surprises.

Each vacation home is always cared for by our professional local teams who implement our high cleanliness and maintenance values, while the hands-off tasks of vacation rental management--marketing, filing taxes, and maintaining a website--are handled by a specialized central support team. Our passion and focus remains true: to empower our homeowners, guests, and employees to invest in vacation.",167
2380,49441399,Knutson & Associates,"We have been serving visitors to the Big Island since 1976, With the finest Vacation Homes and Condos available!

Knutson & Associates is a mid-sized, independently owned company consisting of dedicated professional Realtors®.

Our offices are located in Kailua-Kona, on the Big Island of Hawaii. We are celebrating our 48th year in business here in Kailua-Kona in 2024",158
3011,92715155,Ali'I Beach,"Ali’i Beach Rentals is an established team specialist in Oahu Vacation Rentals and Monthly Rentals since 2004. Our Customer Service, quality assurance procedures, and Aloha Spirit are unsurpassed! We have knowledgeable on-island staff available, 7 days a week for your assistance. To view all of our listings visit: www.airbnb.com/p/aliibeachrentals",157
2812,74079684,Marina,"Since 1965, Marina Hawaii Vacations has offered the best places to stay on the island of Oahu. Marina Hawaii Vacations' more than 300 privately-owned condominiums are located in the Ilikai Hotel, the Ilikai Marina and Discovery Bay - within easy walking distance to the heart of Waikiki and Hawaii's popular Ala Moana Shopping Center. Repeat visitors from the U.S. mainland, Canada, Europe and Asia trust Marina Hawaii Vacations for convenience, great quality and prices. Many of our guests are annual visitors who have stayed with us for the past 30 years. Check out the other properties that we manage at www.marinahawaiivacations.com",153
4129,240078487,Steven,"I have access to many locations not listed here, so if you're looking - let me know where and I'm happy to check in to it for you.",148
3077,97006413,Suite Paradise,"Suite Paradise – The gateway to island living.

Suite Paradise in sunny Poipu Beach on Kauai is home to hundreds of vacation rental properties, amenable to any sized group and any specifications you could think of. With the highest level of service and a wide range of vacation rental options, Suite Paradise can ensure that your stay is as seamless as Kauai’s lifestyle.

Choose from luxurious beach resorts, each with multiple pools and spas within walking distance and top-of-the-line amenities, including, but not limited to, full membership to Poipu Beach Athletic Club for the duration of your stay. Poipu Kai consists of 70 acres of lush tropical foliage and some of Kauai’s most sought-after vacation rentals. One complex is literally located nestled in a verdant and extinct volcano crater – you can’t get more immersed in the island lifestyle than that! From mauka (mountain) to makai (sea), Suite Paradise has something for you!

Kahala – A popular complex that is home to mostly one- and two-bedroom units. Kahala is only a short walk from the beach, and closest to Poipu Kai’s tennis courts and Kalapaki Joe’s sports bar. With the option of both mountain and ocean views available dependent on the unit, Kahala’s location is perfectly situated with proximity to Poipu Road as well as the Poipu Kai greenbelt.

Makanui – Two- and three-bedroom units perched across from Poipu Crater, with stunning mountain views, distant ocean views, and a short walk to the greenbelt path.

Manualoha –Less than a mile from the beach, although the complex pool is practically attached to the Pacific Ocean! With units sleeping four to six, easy access to the greenbelt pathway, and hues of purple bougainvillea draped throughout the complex.

Poipu Sands – One- and two-bedroom units with incredible ocean views, spacious lanais, and a short walk to Shipwreck’s Beach.

Regency – Larger units, spacious enough to accommodate up to 10 guests. Many of these units are newly remodeled and offer AC. Regency and Kahala sit right next to each other.

Regency Villas – Luxury units with central AC. Regency Villas often feature a loft and sleep up to five guests. Situated near the greenbelt for easy access to many resort amenities, and centrally located for a short walk to Brennecke's Beach, or access to the Grand Hyatt Kauai Resort.

Nihi Kai Villas - A comfortable and quiet beach resort with 70 condos to choose from. Located right across from the ocean.

Poipu Crater – Just as the name says, Poipu Crater is nestled in a verdant an extinct volcano crater, which makes the foliage truly breathtaking. With 30 condos to choose from, sleeping four to six guests, the choice is yours! Enjoy the tropical gardens and central location to all that Poipu has to offer.

Lawai Beach Resort - Luxurious oceanfront condos located directly across from arguably the best snorkeling spot on the island. Enjoy a short stroll to five-star dining at The Beach House or enjoy the view from Lawai Beach, as the surfers paddle out for a sunset session. With room to sleep up to six, Lawai Beach Resort has it all!

Poipu Kapili - A beautiful and peaceful resort located on five acres of meticulously landscaped oceanfront property.

Pili Mai - This is Kauai’s newest resort development of luxury condominiums, nestled among a championship golf course.",128
4664,428576478,Ryan,Beach days. Mountain getaways. City-scapes. We've got thousands of vacation rentals to choose from in North America's most loved vacation spots. ,121
3064,96255708,Jeff And Suzanne,"Jeff & Suzanne have been hosting guests in their luxury vacation rentals on the Big Island of Hawaii for the past several years.   Their company Paradise in Hawaii Luxury Homes consists of a large team of passionate, dedicated individuals focused on helping guests have amazing holidays.    From the initial three homes to now over forty (40) homes all equipped to the same high standards they have never lost their attention to detail.     While they have added team members they remain directly involved with each and every guest.    They treat every guest like their trip to Hawaii is their life long dream fulfilled.   They love being part of helping families create amazing memories.  Come try the Paradise in Hawaii experience!",120
2364,48697898,South Kohala,"We are a brother and sister team, born and raised on the Big Island, managing over 100 luxury vacation rentals on the Kohala Coast. We are passionate about our work and sharing the beauty and wonder of Hawaii Island with our guests. Our offices are open 365 days/year so that you will always have a local professional to call upon. ",118
4482,371942068,Joy,"Hi, I'm Joy! I'm excited for you to check out my listings and discover all the places you can go! I would love to be a part of your travel journey, as its one of my favorite things in life! My parents had us on adventures starting at a very young age and I thankfully got to see and experience so many wonderful and breathtaking places! I love taking my family on those same adventures now and would be so excited to help you plan out some of yours! Please feel free to reach out with any questions you might have, I am representing owners of the underutilized timeshares that might be just perfect for your next journey! If there is anything you're looking for and don't see in the listings please let me know and a lot of times I can help track down exactly what you are looking for! Can't wait to start planning your next adventure with you! Happy Travels!",113
2183,41842769,Resortica,"Aloha!
We are ResorticaHawaii, a professional vacation rental management company on the Big Island.  We have had the pleasure of hosting thousands and thousands of guests since 2006. We have built beautiful relationships with our returning guests and love to share the ""aloha"" with all of our guests.
We look forward to building our relationship with Air BnB!",112
2199,42612930,Midway Vacations,"Welcome to Midway Vacations! We specialize in top-notch vacation rentals in Waikiki & Maui.

Expect:
• Round-the-clock support from our team
• Impeccable cleanliness by our housekeeping team
• Professionally laundered linens & towels
• Well-maintained properties
• Quick response from our maintenance team

Relax and create lasting memories with your Ohana in our homes. Meticulously cared for, fully stocked units await. Experience Aloha with us!",110
336,1770887,Chris,"Hi, 

My name is Chris Finke, owner of Resort Rentals International, and we have been renting out units at resorts since 2008. Please let me know if you have any questions and I will be very happy to help you.  

Best Regards, 

Chris Finke",107
4461,355450429,Mike,"Based in Brooklyn, New York, KOALA wants to transform the way people take vacations. Our goal is to make it easier for travelers to book beautiful resort stays at surprisingly low prices, while helping timeshare owners cover expenses for a space they can’t use. It’s a win-win!

Mike is the cofounder and CEO of KOALA. His mission is to make it secure and easy for travelers like you to access space and resort amenities at affordable prices.",103
4491,373307437,Deena,"AIRBNB Host & Property Manager for multiple locations, On Point-Travel! I’m available 24/7 @365 anytime you need me I will be there to help you in any way I can.  Fast response times! Whether it's beaches or ski resorts I have locations everywhere. Let me be your personal travel agent! Im a very responsive and promise to answer all of your questions! Would love to earn your business and help you get on vacation!",103
4554,396784850,Grand Welcome,"Grand Welcome has perfected the art of short-term vacation rentals. As the leading property management franchise in the industry, we offer the most comprehensive, full-service program, providing both homeowners and guests with the care and attention they deserve. Each of our locations, from coast to coast, is locally owned and managed, but the company is nationally recognized with a team of experts based in our home office. This allows us to maintain a hands-on, boutique-style approach with premium marketing and guest service support.  

  
Planning your vacation begins with Grand Welcome. We offer an expansive list of high-end vacation rental properties ranging from mountain cabins, condos, and luxury homes. With thousands of properties to choose from, we are confident that the vacation home of your dreams is just a click away. ",97
1582,21265745,Brad And Sarah,"Husband and wife with two littles under the age of 8.  We love to travel, love the outdoors, and love to share other parts of the world and our country with our children.  

We both believe vacation and traveling is so important, and that carries over into how we take care of the people who book vacations with us!  ",94
4577,402998583,Jayden,"Aloha and welcome to Hawaii! My name is Jayden and I am thrilled to have you here on this truly magical island that I am humbled to call my home.

If you're looking for a unique Airbnb experience, you're in the right place. As the co-founder of VYBE Hawaii, my goal is to offer you an experience like no other. Each of the apartments I host are one-of-a-kind and have been stunningly renovated and beautifully designed with the modern-day traveler in mind. I believe that your home away from home should be comfortable and memorable, whether you're here for business or for a well-deserved vacation.

Our team at VYBE is committed to building long-lasting relationships with our guests and providing compassionate, genuine Hawaiian hospitality. I take pride in sharing my island and its culture with visitors from all over the world, and I welcome everyone with Aloha.

In addition to being an Airbnb host, I am also a licensed real estate agent. If you're considering investing in real estate in Hawaii, feel free to ask me any questions. I am passionate about helping people find their dream home in paradise.
I look forward to hosting you and showing you the beauty and aloha spirit of Hawaii!
",94
4534,389697794,David,"From the beaches to the mountains, and any cityscape in-between, my portfolio of resort style, fully stocked condo accommodations will provide you the ultimate vacation experience! 

",93
1554,20704144,William,"A Husband, Tennis coach and Entrepreneur that loves to travel!",93
3292,117224914,Castle Resorts And Hotels,"Vacationing in Maui doesn’t get better than Kamaole Sands, a condo resort built on 15 acres of gardens, waterfalls, and ponds. Live like you’ve always wanted to in an individually furnished condominium suite directly across from Kihei’s popular Kamaole Beach Park III. Defined by its laid-back vibe and tropical beauty, South Maui is a true Hawaiian paradise.

Our dreamy Kihei location near Wailea Resort and Makena Resort puts you in the midst of golf, spas and ocean recreation.

- Learn to surf at Kamaole Beach Park III
- Tee off at Maui Nui or Wailea golf clubs
- Stay on trend at The Shops at Wailea
- Snorkel amid the pristine waters of La Perouse Bay
- Indulge in spa treatments at Wailea Resort
- Sample craft brews at Maui Brewing Company

The best plan for your day is often no plan at all. Maybe you’ll start your morning with a swim in the Pacific or in our pool. You might mingle amid traveling kindred spirits at your resort’s Wednesday Mai Tai Party, and then grill a fresh catch with your new friends at the property’s public barbecue area. Or step out for a sunset dinner at one of Kihei’s fantastic cafes or bistros. Need to stay connected? We offer complimentary WiFi in the lobby, pool area, and all rooms.

Since 1993, Castle Resorts & Hotels has specialized in innovative hotel and resort management. We manage properties throughout the Hawaiian Islands, including Kauai, Oahu, Maui, Molokai, and Hawaii Island, as well as Auckland, New Zealand. Accommodations range from full-service hotels to resort condominiums and combines value, convenience, and authentic experiences.",91
3893,189583753,Mauna Kea,"Aloha & welcome to Mauna Kea Residences!  We offer luxurious two to seven-bedroom condos, townhomes, and estates set in the iconic Mauna Kea Resort. Many residences have a private pool, lanai space(s) for outdoor relaxation and panoramic ocean, golf course and mountain views. 

As well guests enjoy exclusive access to two pristine beaches, two award winning golf courses, many restaurants, and the Spa at Mauna Kea Resort. Come experience aloha!",88
754,5786717,Viktoria,"Aloha! I am a hospitality professional with a passion for customer service. My team consists of talented Guest Experience Specialists who care about your experience, and are available to assist you 24/7.   We offer travel insurance, discounts on rental cars, and professional, resort quality services to all of our guests; it would be our pleasure to host you for your next Maui vacation!
Maui Nō Ka ‘Oi, (Hawaiian for “Maui is the best"")",87
3583,147683024,AA Oceanfront,"AA Oceanfront Rentals and Sales specializes in offering professional and personal service to all of our guests and owners. We have the knowledge, experience and community connections to help make your vacation perfect! It is our goal to honestly and accurately represent our vacation rentals in Kihei and provide the best service possible to our guests. AA Oceanfront’s professional staff has a background in Resort Management, Customer Service, Marketing, and Real Estate – together we have the combined experience to make your vacation nothing short of amazing.",85
4774,457152913,Todd,"Highly experienced vacation specialist with an emphasis on vacation ownership properties.  Based out of our Myrtle Beach, SC office, let us help you put together your dream vacation.",85
4726,444732174,Sheryl,"Hello! I am a married Mom.  I have a seven-year-old boy and twin boys that are five.  My husband spent years in the travel industry.  Vacationing became a lot easier (especially with the kids) when staying at places that offer the in-room amenities of kitchens, washing machines, and separate rooms! I love sending travelers to beautiful locations across the country and offering them the easy, comfortable, and luxurious resorts that I have become accustomed to staying at.  Let me make your next vacation grand with ",84
4335,296130757,Jay,"Hi, my husband and I grew up and live in Los Angeles, CA. We have 1 son with autism. Our goal was always to introduce our son to new places and things to try and help him grow leaps and bounds. What we found was traveling was the most effective. So since then, we have immersed him into many different environments on our journey of growing as a whole family. We love helping others grow and enhance their love for life through travel. Please before booking confirm with us the dates you are looking to travel as the Airbnb calendar sometimes has issues updating itself.

Our Warmest Wishes, Happy Travels!
",82
3234,111817270,Ahmet,"I have access to many locations not listed here, so if you're looking - let me know where and I'm happy to check in to it for you.",79
1118,10548519,Vacasa Hawaii,"Vacasa
Vacation Home Management

Vacasa unlocks the possibilities of how we enjoy vacation homes. We take care of managing our homeowners’ vacation houses so they can have peace of mind (and their home when they want to). And our guests book vacations confidently knowing they’re going to find exactly what they’re looking for without any surprises.

Each vacation home is always cared for by our professional local teams who implement our high cleanliness and maintenance values, while the hands-off tasks of vacation rental management--marketing, filing taxes, and maintaining a website--are handled by a specialized central support team. Our passion and focus remain true: to empower our homeowners, guests, and employees to invest in vacation.",78
3308,118578746,Chase 'N Rainbows," Chase ‘N Rainbows (CNR) Real Estate, Inc. is a Maui-based company with two divisions: vacation rental management and real estate sales. For the past twenty years, CNR has been offering visitors and Kama’aina alike, affordable and luxury accommodations at a very competitive price. All of its vacation rental units are carefully selected, meticulously inspected, attractively furnished and well maintained to the highest standards. CNR is committed to providing the finest product and unsurpassed personalized service in the industry. These condominiums come highly recommended by leisure, business, and family travelers with distinctive tastes. A significant number of satisfied, return guests speak for the company’s service commitment and quality product. Chase ‘N Rainbows is a proud member of the Hawaii Visitors & Convention Bureau (HVCB), The American Society of Travel Agents (ASTA), Maui Visitors Bureau (MVB), Hawaii Association of Realtors, Maui Chamber of Commerce, and Vacation Rental Managers Association (VRMA).

*Please note we are a licensed and bonded professional management company and we DO NOT advertise on Craigs List 

Follow this link to view all listings we manage on West Maui:
https://www.airbnb.com/users/118578746/listings",75
2217,43068394,Vacation-Maui,"Vacation-Maui is a top-rated vacation rental agency, representing clean, well-equipped beach condos in the sunny resort area of Kihei, Wailea, and Makena. With hundreds of online reviews, our focus is on the best possible guest experience. 

Our office is within a few minutes of all of our properties, and we respond immediately to guest issues. We’re partnered with the largest Real Estate brokerage in the country, Keller Williams; we advise on and sell Maui investment condos, based on the best possible ROI. ",71
175,756093,Kaua’i,"Locally owned and operated, Kauai Exclusive Management has been in business since 2008. Our collection of luxury homes and condos stretches from Princeville to Poipu! With a dedicated full time Airbnb team, we strive to host our Kauai Exclusive guests with professionalism and aloha. We are always available at 877GOKAUAI and happy to help however we can. We look forward to hosting you!",71
2430,52042236,Destination Maui,"Choose from over 100 of the best island condos locally managed by Destination Maui Vacations located in Kihei, Maui~Hawaii.
Let us help you find the perfect spot for your dream vacation!",71
1827,28017763,Steve,Aloha!   We are a family owned and operated vacation rental and management company.   Maui Sunset is an oceanfront condominium resort complex located in sunny Kihei on the island of Maui.    Please reach out if you have any questions or need help finding the best condo for your trip.,70
2780,71362662,Vacasa Hawaii,"Vacasa
Vacation Home Management

Vacasa unlocks the possibilities of how we enjoy vacation homes. We take care of managing our homeowners’ vacation houses so they can have peace of mind (and their home when they want to). And our guests book vacations confidently knowing they’re going to find exactly what they’re looking for without any surprises.

Each vacation home is always cared for by our professional local teams who implement our high cleanliness and maintenance values, while the hands-off tasks of vacation rental management--marketing, filing taxes, and maintaining a website--are handled by a specialized central support team. Our passion and focus remain true: to empower our homeowners, guests, and employees to invest in vacation.",70
4778,458926111,Desiree,"“Vacation.OnPoints” 
Timeshare Property Manager, I help people rent their properties and manage their timeshare by connecting guests with properties all over the world.",70
3093,98570220,Kanani,Garden Island Properties LLC is a family owned and operated vacation rental and real estate company located on the island of Kaua’i.  We have been in business for over 30 years and continue to service our owners and guests with the Aloha Spirit.  We look forward to hosting you on our beautiful island of Kaua’i! To view all of our Kaua’i vacation rentals please visit https://www.airbnb.com/users/98570220/listings.,69
2550,57940735,Pmi,"Book with confidence with PMI Maui, a local Real Estate Brokerage that specializes in vacation rentals. We are located within a mile of the resort and available 24/7. This condo offers an upgraded vacation experience and is fully equipped with everything that you need to have a great vacation. ",69
4425,340080088,Bianka,An eternal traveler.,68
2325,47208806,Oceanfront Realty International,"We are a professional property management company located in Princeville, on Kauai's north shore.  We have been specializing in vacation rentals on Kauai for 30+ years.  Our offices are open 7 days a week, and we have an after-hours emergency number should you need to reach us for any reason.  We pride ourselves on being prompt, friendly, and professional, and providing excellent customer service to all our guests.  We look forward to hosting you on Kauai.  ",64
3275,115700802,Princeville Vacation Rentals,"Princeville Vacation Rentals and Kauai Real Estate Group prides itself in providing our guests' locations to make amazing memories while visiting our garden isle of Kauai.  If you have any questions, don't hesitate to reach out and let us know.  We hope you fall in love with our little piece of paradise as much as we have.",63
3637,153535761,Hale Kamaole,"The complex is located directly across from Kamaole III State Beach Park, which is known as one of the most beautiful and safest beaches in the Islands.  It is perfect for swimming, snorkeling, sunning, jogging, picnicking, kite flying, and especially enjoying amazing sunsets and whale watching.

Each unit has a private lanai that faces the interior of the complex, offering views of the expansive lawns, pools, and lush tropical landscape of palm trees, hibiscus, birds of paradise and plumeria trees.  Most lanais also offer views of the beautiful Pacific Ocean and spectacular sunsets.  

There are two pools, a covered pavilion, and a full size tennis court on the property.  Every evening the outdoor barbecue area is a popular spot to socialize while grilling the perfect dinner and watching as the Hale Kamaole conch shell band performs their nightly sunset ritual.

You will find world class golf courses, fantastic snorkeling and diving, many Maui activities, abundant shopping and delicious fine and family dining all within minutes of Hale Kamaole.",60
